"물리명","논리명","형식","설명"
"acdnt_hist_co","사고 이력 수","numeric",""
"asst_sn","자산 일련번호","int",""
"brach_dn","가지 밀도","numeric",""
"cnd_sn","조건 일련번호","serial",""
"eltr_mens_val","전기 방식 값","numeric",""
"evl_expe_cn","평가 보기 내용","varchar(1000)",""
"evl_itm_cd","평가 항목 코드","varchar(20)",""
"evl_itm_nm","평가 항목 명","varchar(200)",""
"evl_itm_se","평가 항목 구분","varchar(50)",""
"evl_knd","평가 종류","varchar(5)",""
"evl_objtv","평가 목적","varchar(200)",""
"evl_rst_scor","평가 결과 점수","numeric",""
"evl_sn","평가 일련번호","int",""
"evl_sn","평가 일련번호","serial",""
"evl_ymd","평가 일","char(8)",""
"ftr_idn","관리번호","varchar(20)",""
"grad_sn","등급 일련번호","serial",""
"hetero_mtrpipe_co","이형 관종 수","numeric",""
"impvt_mesr_cn","개량 방안 내용","varchar(1000)",""
"install_ymd","설치일","numeric",""
"lblk_nm","대블록 명","varchar(200)",""
"lwet_dp","최저 깊이","numeric",""
"lyng_yynu_sn","매설 년수 일련번호","serial",""
"mblk_nm","중블록 명","varchar(200)",""
"mtrpipe_cd","관종 코드","varchar(20)",""
"mxmm_prsrwtr","최대 수압","numeric",""
"pip_dmtr","관경","numeric",""
"pip_lt","관길이","numeric",""
"pip_thkns","관두께","numeric",""
"qltwtr_crsn_deg","수질 부식 정도","numeric",""
"rang_begin_val","범위 시작 값","numeric",""
"rang_begin_val","범위 시작 값","numeric",""
"rang_end_incs_yn","범위 종료 포함 여부","char(1)",""
"rang_end_val","범위 종료 값","numeric",""
"rang_end_val","범위 종료 값","numeric",""
"revisn_coef","보정 계수","numeric",""
"road_ty","도로 유형","varchar(5)",""
"sblk_nm","소블록 명","varchar(200)",""
"soil_crsn_deg","토양 부식 정도","numeric",""
"soil_knd","토양 종류","varchar(5)",""
"tmwr_scor","노후도 점수","numeric",""
"top_dp","최고 깊이","numeric",""
"vale_co","밸브 수","numeric",""
"wght_val","가중치 값","numeric",""
"wtrlk_cvpl_co","누수 민원 수","numeric",""
"wtrspl_branch_co","급수 가지 수","numeric",""
